iter	Passed	Remaining
0	157	156957
1	160	79989
2	162	53997
3	164	40963
4	166	33109
5	168	27860
6	169	24082
7	171	21298
8	173	19141
9	175	17403
10	177	15962
11	179	14787
12	181	13749
13	182	12851
14	184	12095
15	185	11437
16	188	10871
17	189	10343
18	191	9884
19	193	9472
20	194	9084
21	195	8695
22	196	8339
23	197	8026
24	198	7735
25	199	7484
26	200	7224
27	201	7009
28	203	6812
29	204	6620
30	206	6452
31	207	6278
32	208	6114
33	209	5962
34	210	5812
35	211	5673
36	212	5540
37	213	5416
38	214	5295
39	215	5181
40	216	5074
41	217	4965
42	218	4860
43	219	4760
44	220	4670
45	220	4583
46	222	4503
47	222	4419
48	223	4337
49	224	4265
50	225	4196
51	226	4128
52	227	4057
53	227	3993
54	228	3933
55	229	3874
56	230	3814
57	231	3757
58	232	3705
59	233	3653
60	234	3604
61	234	3553
62	235	3503
63	236	3459
64	237	3416
65	238	3371
66	239	3328
67	239	3280
68	240	3239
69	240	3198
70	241	3160
71	242	3122
72	242	3083
73	243	3047
74	244	3011
75	244	2977
76	245	2944
77	246	2914
78	247	2882
79	248	2854
80	249	2829
81	250	2803
82	251	2777
83	252	2751
84	252	2721
85	253	2695
86	254	2665
87	254	2641
88	255	2617
89	256	2593
90	257	2570
91	258	2550
92	259	2528
93	260	2507
94	261	2486
95	261	2466
96	262	2446
97	263	2426
98	264	2406
99	265	2388
100	266	2370
101	266	2348
102	267	2330
103	268	2312
104	269	2294
105	270	2277
106	270	2260
107	271	2244
108	272	2227
109	273	2209
110	273	2193
111	274	2177
112	275	2161
113	276	2146
114	276	2131
115	277	2115
116	278	2102
117	279	2088
118	280	2073
119	281	2063
120	282	2049
121	282	2036
122	283	2019
123	284	2008
124	285	1996
125	285	1982
126	286	1970
127	287	1956
128	287	1944
129	288	1933
130	289	1923
131	290	1913
132	292	1903
133	293	1894
134	294	1885
135	295	1876
136	296	1868
137	297	1857
138	298	1847
139	299	1837
140	300	1828
141	301	1820
142	302	1812
143	303	1803
144	304	1794
145	305	1784
146	305	1774
147	306	1764
148	307	1754
149	308	1745
150	308	1736
151	309	1728
152	310	1719
153	311	1710
154	312	1702
155	313	1693
156	313	1685
157	315	1678
158	315	1670
159	316	1661
160	317	1652
161	317	1644
162	318	1636
163	319	1628
164	320	1621
165	321	1613
166	321	1605
167	322	1597
168	323	1589
169	323	1581
170	324	1573
171	325	1565
172	325	1557
173	326	1550
174	327	1542
175	327	1535
176	328	1527
177	329	1520
178	329	1513
179	330	1506
180	330	1497
181	331	1490
182	332	1484
183	333	1477
184	333	1471
185	334	1464
186	335	1458
187	336	1452
188	337	1446
189	337	1439
190	338	1432
191	338	1426
192	339	1419
193	340	1413
194	340	1407
195	341	1401
196	342	1394
197	342	1388
198	343	1382
199	344	1376
200	344	1370
201	345	1364
202	346	1358
203	346	1353
204	347	1347
205	348	1342
206	349	1337
207	349	1331
208	350	1326
209	351	1320
210	351	1315
211	352	1309
212	352	1304
213	353	1298
214	354	1293
215	355	1288
216	355	1283
217	356	1278
218	356	1272
219	357	1267
220	358	1262
221	358	1257
222	359	1252
223	360	1247
224	360	1242
225	361	1238
226	362	1233
227	362	1228
228	363	1223
229	364	1219
230	365	1215
231	365	1210
232	366	1206
233	367	1201
234	367	1196
235	368	1191
236	368	1187
237	369	1182
238	370	1178
239	370	1174
240	371	1170
241	372	1166
242	373	1162
243	373	1158
244	374	1154
245	375	1150
246	376	1147
247	377	1143
248	378	1140
249	379	1137
250	380	1134
251	381	1130
252	382	1128
253	383	1125
254	383	1121
255	384	1117
256	385	1113
257	385	1110
258	386	1106
259	387	1102
260	388	1099
261	389	1095
262	389	1092
263	390	1089
264	391	1086
265	392	1083
266	393	1080
267	394	1076
268	394	1072
269	395	1068
270	396	1065
271	396	1061
272	397	1058
273	398	1054
274	398	1051
275	399	1048
276	400	1044
277	400	1041
278	401	1038
279	402	1034
280	403	1031
281	403	1028
282	404	1024
283	405	1021
284	405	1017
285	406	1014
286	407	1011
287	408	1008
288	408	1005
289	409	1003
290	410	1000
291	411	998
292	412	995
293	413	991
294	413	988
295	414	985
296	414	982
297	415	979
298	416	976
299	417	973
300	417	970
301	418	967
302	419	965
303	420	962
304	421	959
305	421	956
306	422	953
307	423	951
308	424	948
309	424	945
310	425	942
311	426	940
312	427	937
313	427	934
314	428	931
315	428	928
316	429	925
317	430	922
318	430	920
319	431	917
320	432	914
321	432	911
322	433	908
323	434	906
324	435	904
325	436	901
326	436	899
327	437	897
328	438	894
329	439	892
330	440	889
331	440	886
332	441	884
333	442	882
334	443	879
335	444	877
336	444	875
337	445	872
338	446	870
339	447	867
340	447	865
341	448	862
342	449	860
343	450	858
344	450	855
345	451	852
346	452	850
347	452	848
348	453	846
349	454	843
350	454	840
351	455	838
352	456	836
353	456	833
354	457	831
355	458	829
356	459	826
357	459	824
358	460	822
359	461	819
360	461	817
361	462	815
362	463	813
363	464	811
364	465	809
365	465	806
366	466	804
367	467	802
368	467	800
369	468	797
370	469	795
371	469	793
372	470	790
373	471	788
374	471	786
375	472	784
376	473	782
377	473	779
378	474	777
379	475	775
380	475	773
381	476	771
382	477	768
383	477	766
384	478	764
385	479	762
386	479	760
387	480	757
388	481	755
389	481	753
390	482	751
391	482	748
392	483	746
393	484	744
394	484	742
395	485	740
396	485	738
397	486	735
398	487	733
399	487	731
400	488	729
401	489	727
402	489	725
403	490	723
404	491	721
