iter	RMSE
0	40.26716484
1	39.00825381
2	37.75392625
3	36.701928
4	35.63508304
5	34.57792751
6	33.53887899
7	32.49502129
8	31.43541486
9	30.4879971
10	29.58487295
11	28.69637659
12	27.8721641
13	26.99636735
14	26.2258857
15	25.42660351
16	24.63015349
17	23.89664191
18	23.26088651
19	22.52321557
20	21.88884105
21	21.29735731
22	20.67834543
23	20.07961167
24	19.51943321
25	18.99296717
26	18.46882324
27	17.91046765
28	17.3672513
29	16.91464704
30	16.39389754
31	15.92081341
32	15.49141435
33	15.04799545
34	14.68880466
35	14.27147192
36	13.87610304
37	13.50236154
38	13.12150335
39	12.74625428
40	12.37107394
41	12.06028711
42	11.75243964
43	11.44101738
44	11.12178102
45	10.81719233
46	10.55112065
47	10.26918257
48	10.00343334
49	9.724702933
50	9.446233686
51	9.207166082
52	8.965381769
53	8.755688834
54	8.525765663
55	8.303505067
56	8.111937838
57	7.924039413
58	7.711703715
59	7.504779242
60	7.312479471
61	7.149177485
62	6.968816921
63	6.793351497
64	6.638513403
65	6.495334261
66	6.349815162
67	6.220543413
68	6.086873558
69	5.942965687
70	5.795790674
71	5.656013523
72	5.526986787
73	5.395952397
74	5.278536013
75	5.16800886
76	5.056619618
77	4.954316431
78	4.846682952
79	4.750584966
80	4.648332126
81	4.552349421
82	4.449487457
83	4.35531736
84	4.256320252
85	4.170026991
86	4.091485913
87	4.000815893
88	3.921206313
89	3.842502945
90	3.77561967
91	3.697195644
92	3.629381129
93	3.562560149
94	3.498705322
95	3.44672284
96	3.381439918
97	3.321804107
98	3.266524034
99	3.20609104
100	3.153305383
101	3.105007743
102	3.055655748
103	3.007352502
104	2.960892882
105	2.915361035
106	2.870704696
107	2.82521897
108	2.785091133
109	2.748312505
110	2.708645184
111	2.677389148
112	2.66771954
113	2.659392137
114	2.625649966
115	2.588822825
116	2.576197624
117	2.544818641
118	2.518301819
119	2.488387346
120	2.474340066
121	2.446068055
122	2.424897938
123	2.402036574
124	2.390160761
125	2.364431366
126	2.346878521
127	2.340840444
128	2.31517179
129	2.290477834
130	2.265540473
131	2.237106562
132	2.223159396
133	2.202930761
134	2.183134927
135	2.177606025
136	2.164408677
137	2.147879294
138	2.12980605
139	2.118280281
140	2.11084
141	2.091457396
142	2.068645555
143	2.048876284
144	2.036482152
145	2.018867979
146	2.000794658
147	1.995209799
148	1.988911231
149	1.98189006
150	1.975844613
151	1.961035733
152	1.947959268
153	1.942217262
154	1.926107237
155	1.920110135
156	1.912308228
157	1.898554965
158	1.892527373
159	1.887834503
160	1.880868964
161	1.875864872
162	1.857725042
163	1.848777691
164	1.8442677
165	1.835460566
