iter	Passed	Remaining
0	1	1005
1	1	991
2	3	1025
3	4	1014
4	4	981
5	5	960
6	6	955
7	7	938
8	8	932
9	9	926
10	10	956
11	11	958
12	12	950
13	13	939
14	14	936
15	15	924
16	16	945
17	17	943
18	18	946
19	19	941
20	20	939
21	20	928
22	22	935
23	23	941
24	24	944
25	25	944
26	26	944
27	27	941
28	28	951
29	29	948
30	30	946
31	31	948
32	32	946
33	33	948
34	34	948
35	35	954
36	36	953
37	37	952
38	38	948
39	39	945
40	40	942
41	41	943
42	42	942
43	43	941
44	44	939
45	45	939
46	46	938
47	47	937
48	48	938
49	49	938
50	50	934
51	50	926
52	51	921
53	52	917
54	53	917
55	54	913
56	55	912
57	56	909
58	56	904
59	57	899
60	58	893
61	58	888
62	59	882
63	60	887
64	61	885
65	62	881
66	63	881
67	63	877
68	64	876
69	65	873
70	67	878
71	67	875
72	68	871
73	69	867
74	69	862
75	70	858
76	71	853
77	71	849
78	72	850
79	73	849
80	74	846
81	75	844
82	76	842
83	76	838
84	77	834
85	78	834
86	79	836
87	80	837
88	81	839
89	82	838
90	83	836
91	84	835
92	86	838
93	87	838
94	88	840
95	89	839
96	89	837
97	90	834
98	91	832
99	92	831
100	93	830
101	94	831
102	95	830
103	96	829
104	97	829
105	98	828
106	98	824
107	99	821
108	100	818
109	100	815
110	101	812
111	102	809
112	102	803
113	102	798
114	103	796
115	104	795
116	105	793
117	106	792
118	106	791
119	107	790
120	108	788
121	109	790
122	110	789
123	111	787
124	112	784
125	112	781
126	113	778
127	113	774
128	114	771
129	114	768
130	115	766
131	116	763
132	116	761
133	117	758
134	118	756
135	118	751
136	118	748
137	119	746
138	120	744
139	120	742
140	121	739
141	121	737
142	122	735
143	123	734
144	124	734
145	125	735
146	126	734
147	127	731
148	127	730
149	128	730
150	130	731
151	130	729
152	131	728
153	132	725
154	132	723
155	133	722
156	134	720
157	134	719
158	135	718
159	136	714
160	136	713
161	137	709
162	137	707
163	138	706
164	138	702
165	139	701
166	140	701
167	141	699
168	141	697
169	142	696
170	142	693
171	143	691
172	144	689
173	144	687
174	145	685
175	146	683
176	146	681
177	147	679
178	147	678
179	148	675
180	148	672
181	149	671
182	149	668
183	150	667
184	151	668
185	152	667
186	153	665
187	153	665
188	154	664
189	155	662
190	156	662
191	157	662
192	158	661
193	158	659
194	159	657
195	160	656
